id,idx,name,nametype,recclass,mass,fall,year,reclat,reclong,impact
95,5018,Beni M'hira,Valid,L6,19000,Fell,2001,32.86667,10.8,53647
96,5021,Benld,Valid,H6,1770.5,Fell,1938,39.08333,-89.15,56908
97,5023,Benoni,Valid,H6,3880,Fell,1943,-26.16667,28.41667,50315
98,5024,Bensour,Valid,LL6,45000,Fell,2002,30,-7,13260
99,5026,Benton,Valid,LL6,2840,Fell,1949,45.95,-67.55,79520
100,48975,Berduc,Valid,L6,270,Fell,2008,-31.91,-58.32833,72826
101,5028,Béréba,Valid,Eucrite-mmict,18000,Fell,1924,11.65,-3.65,96279
102,5029,Berlanguillas,Valid,L6,1440,Fell,1811,41.68333,-3.8,86819
103,47355,Berthoud,Valid,Eucrite-mmict,960,Fell,2004,40.30583,-105.02325,64394
104,5032,Bethlehem,Valid,H,13.9,Fell,1859,42.53333,-73.83333,92368
105,5034,Beuste,Valid,L5,2000,Fell,1859,43.21667,-0.23333,77682
106,5035,Beyrout,Valid,LL3.8,1100,Fell,1921,33.88333,35.5,47820
107,5037,Bhagur,Valid,L6,18,Fell,1877,20.88333,74.83333,590
108,36591,Bhawad,Valid,LL6,678,Fell,2002,26.50833,73.11528,22588
109,5039,Bherai,Valid,L6,100,Fell,1893,20.83333,71.46667,68854
110,5040,Bhola,Valid,LL3-6,1047,Fell,1940,22.68333,90.65,74670
111,5041,Bholghati,Valid,Howardite,2500,Fell,1905,22.08333,86.9,3111
112,5042,Bialystok,Valid,Eucrite-pmict,4000,Fell,1827,53.1,23.2,56920
113,5043,Bielokrynitschie,Valid,H4,1900,Fell,1887,50.13333,27.16667,28988
114,5045,Bilanga,Valid,Diogenite,25000,Fell,1999,12.45,-0.08333,54046
115,5051,Binningup,Valid,H5,488.1,Fell,1984,-33.15639,115.67639,47617
116,5056,Birni N'konni,Valid,H4,560,Fell,1923,13.76667,5.3,6551
117,5059,Bishopville,Valid,Aubrite,6000,Fell,1843,34.16667,-80.28333,28717
118,5060,Bishunpur,Valid,LL3.15,1039,Fell,1895,25.38333,82.6,35119
